X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,label
9.631346717,10.94636427,7.689221262,6.945742473,13.19732795,9.519072686,0.669927157,0.038157062,0.805709459,0.395240992,9.305408103,11.26074232,8.821679562,7.112817982,11.19542916,8.243451354,0.357379229,0.825456918,0.119793241,0.811939781,A
10.63202552,9.573933366,7.69807754,8.633096282,13.02615633,8.345433153,0.489126974,0.084253718,0.678169477,0.512399459,6.446333804,12.53647628,7.490909013,7.090804541,10.10007359,6.710581763,0.375970783,0.96902928,0.153395687,0.865077947,A
10.74757618,11.60961141,8.991031137,9.331266699,14.47022156,8.266895825,0.090049484,0.214034559,0.523756961,0.691807027,7.976909541,10.43278419,7.344642302,7.465813618,11.73495639,8.694398634,0.3771664,0.534792221,0.439864712,0.618854751,A
9.471718961,9.871293349,9.481591667,10.61519968,14.87867804,7.660711626,0.053833683,0.172867842,0.566475742,0.557140246,8.629479365,11.28824914,8.494769278,9.394439992,11.12571965,9.139209078,0.429205719,0.873537542,0.267353659,0.958796017,A
10.36640328,8.749279808,9.336639182,8.715707737,13.20750596,9.093934055,0.597201762,0.07099734,0.986754319,0.085716152,10.10267953,11.61038471,7.985672759,8.432888121,10.29522112,9.341897754,0.234177224,0.929686826,0.274287338,0.911180553,A
8.872580452,10.97986418,8.691179865,7.771263936,15.81171151,8.282260605,0.382513353,0.113749461,0.747548987,0.372329038,8.180443217,11.54688872,8.340780186,9.44209578,9.755029616,8.689642556,0.357887609,0.828024682,0.379584625,0.714976382,A
11.01376791,10.21351881,7.732363097,9.201074597,13.22363545,9.669933204,0.527922796,0.127629654,0.836708335,0.363183183,8.014278487,11.28617917,8.079325025,8.260890003,10.01946189,7.371451814,0.322647481,0.511667409,0.43186028,0.464974753,A
9.407313261,9.751592497,8.192258105,9.408695293,14.20640492,9.038236169,0.171922717,0.158175435,0.861463577,0.306897236,7.470968251,12.16141803,7.885808353,9.673534685,10.31736852,7.932876282,0.402950397,0.902388458,0.066948063,0.792660107,A
9.088741685,12.7692983,10.36444201,6.235192193,16.01077029,8.830919774,0.580538576,0.054223714,0.854945651,0.336770659,9.272688127,11.95339341,7.506754222,8.628509782,10.3021524,6.625858475,0.181924993,0.892312645,0.394213218,0.812750569,A
9.299222998,10.69539691,8.003271613,8.315182643,13.73874166,8.13391213,0.435052378,0.080385275,0.799882281,0.35474573,7.504985377,11.5157715,8.091184625,7.992452977,11.27798157,9.521164534,0.171942956,0.722082675,0.103094168,0.753529295,A
9.563967479,12.15586283,8.485323172,8.762178,15.0223244,7.55858895,0.467227857,0.12229253,0.656634846,0.434074335,8.568163793,11.71198996,7.714245195,8.699717828,9.541212168,8.379237814,0.598760361,0.382294378,0.843482702,0.257148827,A
10.60443084,9.974301898,8.21891935,6.596458166,14.81072891,9.593492436,0.346523683,0.095709445,0.792846781,0.425092475,9.625057037,11.56245417,8.695160523,8.96872812,11.95167828,9.812121558,0.679651734,0.450054118,0.72278101,0.449631768,A
10.21644837,11.13138397,6.69608975,9.75804952,15.19483856,9.865989779,0.338437792,0.091451647,0.769580587,0.478392635,9.096718417,11.12053582,7.383054626,9.127402595,12.0041032,7.086592666,0.658314858,0.687437608,0.609239402,0.575232387,A
11.54707796,11.01173465,8.377701613,8.966287241,13.51753648,7.452733283,0.325797497,0.132472538,0.675015653,0.349545086,8.530858261,13.73702732,6.516357223,9.24196182,12.13352356,7.23751026,0.578266458,0.918997287,0.235990816,0.808328973,A
